ID,Name,Parameter,Language,Frequency,Confidence,References
ids-532-15-760-1,kubytin,ROUGH,Tsakhur (Gelmets dialect),,,
marrisonnaga-Sema-617_rough-1,kukokileikeu,ROUGH,Sema,,,
wold-Hup-1038_rough1-1,kukuc,ROUGH,Hup,,,
ids-224-15-760-1,kukuh,ROUGH,Karok,,,
ids-67-15-760-3,kulaisuz,ROUGH,Tabasaran (Northern dialect Khanag subdialect),,,
ids-315-15-760-1,kuma,ROUGH,Yagán,,,
hantganbangime-Nanga-212_rough-1,kunji,ROUGH,Nanga,,,
hantganbangime-Perge_Tegu-212_rough-1,kunju,ROUGH,Perge_Tegu,,,
hantganbangime-Ben_Tey-212_rough-1,kunjum,ROUGH,Ben_Tey,,,
hantganbangime-Jamsay-212_rough-1,kunu,ROUGH,Jamsay,,,
hantganbangime-Yorno_So-212_rough-1,kunu,ROUGH,Yorno_So,,,
hantganbangime-Yanda_Dom-212_rough-1,kunzu,ROUGH,Yanda_Dom,,,
hantganbangime-Penange-212_rough-1,kurju,ROUGH,Penange,,,
ids-288-15-760-1,kuru,ROUGH,Aché,,,
wold-Qeqchi-1038_rough1-4,kurux,ROUGH,Q'eqchi',,,
lexirumah-abui1241-ulaga-rough-1,kuvai,ROUGH,"Abui, Ulaga",,,
ids-324-15-760-2,kvakiarab,ROUGH,Avar (Salatav dialect),,,
ids-81-15-760-1,kvankurab,ROUGH,Avar (Kusur dialect),,,
wold-Swahili-1038_rough1-1,kwaruza,ROUGH,Swahili,,,
lexirumah-dobe1238-rough-1,kwumir,ROUGH,Dobel,,,
halenepal-Thakali-1677_rough-1,kyohngpa,ROUGH,Thakali,,,
ids-219-15-760-1,lac,ROUGH,Basque,,,
marrisonnaga-Jingpho-617_rough-2,laja,ROUGH,Jingpho,,,
ids-416-15-760-1,lau4,ROUGH,Maonan,,,
ids-815-15-760-1,lo33no33,ROUGH,Cuoi,,,
ids-54-15-760-1,lokiosgikva,ROUGH,Khwarshi (Inkhokvari dialect),,,
ids-325-15-760-1,lokioszhuka,ROUGH,Khwarshi (Kwantlada dialect),,,
ids-822-15-760-1,lon41,ROUGH,Tum,,,
wold-Oroqen-1038_rough1-1,l@rin,ROUGH,Oroqen,,,
ids-804-15-760-1,ma53len35,ROUGH,Keme (Kemie variety),,,
lexirumah-waim1252-rough-1,maga,ROUGH,Waima'a,,,
marrisonnaga-Maram-617_rough-1,magham,ROUGH,Maram,,,
wold-Hausa-1038_rough1-1,maikaushii,ROUGH,Hausa,,,
ids-238-15-760-3,makiri,ROUGH,Rapa Nui,,,
marrisonnaga-Liangmai-617_rough-1,manaikamakbu,ROUGH,Liangmai,,,
wold-Malagasy-1038_rough1-1,marao,ROUGH,Malagasy,,,
wold-Malagasy-1038_rough1-2,marokoroko,ROUGH,Malagasy,,,
halenepal-Sunwar-1677_rough-1,masilsil,ROUGH,Sunwar,,,
halenepal-Khaling-1677_rough-1,masolaemim,ROUGH,Khaling,,,
marrisonnaga-Puiron-617_rough-1,matyengmaknu,ROUGH,Puiron,,,
ids-68-15-760-1,meshrebsuz,ROUGH,Tabasaran (Southern dialect),,,
lexirumah-sika1262-hewa-rough-1,mogor,ROUGH,"Sika, Hewa",,,
ids-75-15-760-1,morsa,ROUGH,Chechen,,,
ids-215-15-760-3,mrarram,ROUGH,Ancient Aramaic,,,
lexirumah-teiw1235-nule-rough-1,m@tum@tu,ROUGH,"Teiwa, Nule",,,
ids-164-15-760-1,murdar,ROUGH,Dargwa (Muiri dialect),,,
ids-419-15-760-1,mut323,ROUGH,Southern Kam,,,
